('<BOS>',)的频次-----86924
('跋涉',)的频次-----15
('美事',)的频次-----2
('佐餐',)的频次-----2
('耐人寻味',)的频次-----15
('印花税',)的频次-----3
('兰德公司',)的频次-----1
('熔炼',)的频次-----1
('艾哈迈德',)的频次-----4
('总编',)的频次-----7
('订阅',)的频次-----11
('思想库',)的频次-----4
('车载斗量',)的频次-----1
('大部头',)的频次-----4
('论著',)的频次-----12
('金字塔报',)的频次-----5
('国际政治和战略研究中心',)的频次-----1
('工作量',)的频次-----13
('来龙去脉',)的频次-----5
('几百部',)的频次-----1
('铃声',)的频次-----5
('伏案',)的频次-----3
('好不',)的频次-----6
('报业',)的频次-----50
('照排',)的频次-----1
('１０种',)的频次-----6
('周五',)的频次-----7
('专刊',)的频次-----3
('百多年',)的频次-----2
('１８７５年',)的频次-----1
('塔克拉',)的频次-----1
('周瑞金',)的频次-----1
('行程',)的频次-----27
('亚太',)的频次-----11
('７０００多公里',)的频次-----2
('安全带',)的频次-----4
('边界线',)的频次-----2
('１００公里',)的频次-----13
('１９９７年４月２４日',)的频次-----2
('１９９６年４月２６日',)的频次-----2
('阿拉木图市',)的频次-----4
('拉夫罗夫',)的频次-----2
('北爱地方行政委员会',)的频次-----2
('１０５名',)的频次-----1
('１０８个',)的频次-----6
('６９％',)的频次-----3
('北爱统一党',)的频次-----3
('社会民主工党',)的频次-----5
('斯托蒙特',)的频次-----1
('俄边防军',)的频次-----1
('格边防军',)的频次-----2
('格鲁吉亚边防军',)的频次-----3
('海防',)的频次-----15
('格鲁吉亚议会国防和国家安全委员会',)的频次-----1
('阿达米亚',)的频次-----1
('第比利斯',)的频次-----2
('俄罗斯边防军',)的频次-----1
('代管',)的频次-----6
('联合国赔偿委员会',)的频次-----2
('７０多个',)的频次-----5
('４００余家',)的频次-----1
('赔偿委员会理事会',)的频次-----1
('第二十八届',)的频次-----4
('第六笔',)的频次-----1
('６万多名',)的频次-----1
('７·４亿美元',)的频次-----1
('１·８亿美元',)的频次-----1
('经济制裁',)的频次-----24
('今年５月１１日',)的频次-----3
('俄总统新闻处',)的频次-----1
('商谈',)的频次-----15
('罗萨里奥·格林',)的频次-----4
('韩国电视台',)的频次-----1
('汉城电视台',)的频次-----1
('新闻电视台',)的频次-----1
('东亚日报',)的频次-----2
('朝鲜日报',)的频次-----1
('韩国日报',)的频次-----1
('中央日报',)的频次-----1
('文化日报',)的频次-----1
('韩国经济新闻',)的频次-----1
('配发',)的频次-----7
('乌克兰议会',)的频次-----1
('乌克兰之声',)的频次-----1
('料想',)的频次-----4
('罗盘报',)的频次-----1
('澳大利亚人报',)的频次-----1
('南非共十大',)的频次-----3
('远见卓识',)的频次-----5
('民族解放运动',)的频次-----2
('南非共产党第十次代表大会',)的频次-----3
('中共中央宣传部',)的频次-----6
('刘云山',)的频次-----15
('中国共产党中央委员会',)的频次-----4
('来宾',)的频次-----17
('香港驻美国经济贸易办事处',)的频次-----2
('酒会',)的频次-----13
('董建华',)的频次-----88
('１２个月',)的频次-----4
('６３０万',)的频次-----2
('港人',)的频次-----127
('专员',)的频次-----11
('彭赞荣',)的频次-----1
('振奋人心',)的频次-----2
('陈宝鎏',)的频次-----1
('千余名',)的频次-----11
('曹万泰',)的频次-----1
('香港驻新加坡经贸办事处',)的频次-----1
('新加坡国际会议展览中心',)的频次-----1
('庆',)的频次-----23
('香港驻日本经贸代表部',)的频次-----2
('梁世华',)的频次-----1
('致辞',)的频次-----19
('驻在国',)的频次-----1
('孙勇军',)的频次-----11
('长足',)的频次-----21
('南非工会大会',)的频次-----1
('党代会',)的频次-----4
('党中央委员会',)的频次-----1
('恩卡库拉',)的频次-----2
('恩齐曼德',)的频次-----1
('中央委员会',)的频次-----2
('王学贤',)的频次-----2
('６００多名',)的频次-----5
('南非共产党（南非共）第十次代表大会',)的频次-----1
('国际歌',)的频次-----1
('科恩',)的频次-----13
('空防',)的频次-----1
('战斗机',)的频次-----11
('侵略战争',)的频次-----11
('防空',)的频次-----6
('巴士拉',)的频次-----2
('舞狮',)的频次-----2
('孔子大厦',)的频次-----1
('纽约华人社团联合总会',)的频次-----1
('披猜·拉达军',)的频次-----1
('泰国中华总商会',)的频次-----1
('郑明如',)的频次-----1
('泰国潮州会馆',)的频次-----1
('郑俊英',)的频次-----1
('曼谷潮州会馆',)的频次-----1
('香港驻美经济贸易办事处',)的频次-----1
('彭湛荣',)的频次-----1
('美籍华人',)的频次-----7
('陈香梅',)的频次-----1
('亚美协会',)的频次-----1
('莫天成',)的频次-----1
('我驻美大使馆',)的频次-----1
('大典',)的频次-----6
('艾森施塔特',)的频次-----3
('认捐',)的频次-----1
('５７５０万美元',)的频次-----1
('６吨',)的频次-----3
('悬而未决',)的频次-----10
('３３７吨',)的频次-----1
('原主',)的频次-----1
('３／４',)的频次-----3
('结案',)的频次-----12
('日军７３１部队',)的频次-----1
('军医',)的频次-----8
('小川武满',)的频次-----4
('默哀',)的频次-----2
('六月三十日',)的频次-----4
('日本侵华罪行见证团',)的频次-----3
('见证',)的频次-----14
('军国主义',)的频次-----8
('东史郎',)的频次-----9
('７３１部队',)的频次-----1
('条冢良雄',)的频次-----1
('土屋公献',)的频次-----2
('日本全国律师联合会',)的频次-----1
('日军７３１细菌部队中国受害者诉讼团律师团',)的频次-----1
('忘怀',)的频次-----3
('亲耳',)的频次-----2
('宁死不屈',)的频次-----3
('无辜',)的频次-----16
('精神分裂症',)的频次-----1
('抢掠',)的频次-----1
('滔天',)的频次-----2
('准时',)的频次-----19
('坚挺',)的频次-----15
('桑特',)的频次-----9
('最高峰',)的频次-----11
('交响曲',)的频次-----9
('到时候',)的频次-----7
('五六百项',)的频次-----1
('利维',)的频次-----9
('１８９个',)的频次-----2
('明年８月',)的频次-----1
('第二十二届',)的频次-----3
('万国邮联',)的频次-----5
('邮政储蓄',)的频次-----1
('普遍性',)的频次-----9
('万国邮政联盟国际局',)的频次-----2
('托马斯·利维',)的频次-----2
('万国邮联国际局',)的频次-----1
('阵痛',)的频次-----9
('发端',)的频次-----4
('长银',)的频次-----7
('药方',)的频次-----14
('日本金融监督厅',)的频次-----2
('住友信托',)的频次-----1
('住友信托银行',)的频次-----6
('候诊',)的频次-----7
('日本长期信用银行',)的频次-----8
('拖累',)的频次-----5
('１４３线',)的频次-----2
('中午１时',)的频次-----1
('下午２时３０分',)的频次-----5
('１４１线',)的频次-----3
('病因',)的频次-----13
('取款',)的频次-----5
('保险柜',)的频次-----8
('外因',)的频次-----4
('急性病',)的频次-----1
('内因',)的频次-----7
('去年最后一个季度',)的频次-----1
('－０．７％',)的频次-----2
('－０．５％',)的频次-----1
('简而言之',)的频次-----2
('不用说',)的频次-----10
('赛马',)的频次-----4
('第１８次',)的频次-----1
('１４０日元',)的频次-----5
('５０万平方公里',)的频次-----1
('２亿吨',)的频次-----1
('棕榈',)的频次-----4
('治虫',)的频次-----2
('１·５亿',)的频次-----1
('３０万平方公里',)的频次-----2
('牧场',)的频次-----9
('利用率',)的频次-----17
('红心',)的频次-----1
('共存',)的频次-----6
('伐木',)的频次-----5
('５０多种',)的频次-----4
('沤肥',)的频次-----1
('水银',)的频次-----2
('上千个',)的频次-----4
('１万多平方公里',)的频次-----1
('林地',)的频次-----2
('流量',)的频次-----21
('一升',)的频次-----2
('２８秒钟',)的频次-----1
('１０００多万种',)的频次-----1
('２５００多种',)的频次-----1
('６５０万平方公里',)的频次-----1
('水蒸气',)的频次-----12
('亚马孙纳斯',)的频次-----1
('１７·７万平方公里',)的频次-----1
('莽莽',)的频次-----4
('八成',)的频次-----3
('讲解员',)的频次-----10
('笔记',)的频次-----18
('展览馆',)的频次-----6
('委内瑞拉外交部',)的频次-----1
('亚马孙合作条约组织秘书处',)的频次-----1
('国际创价学会委内瑞拉分部',)的频次-----1
('展期',)的频次-----5
('简明',)的频次-----8
('图表',)的频次-----8
('络绎不绝',)的频次-----19
('奥通努',)的频次-----2
('１２００万',)的频次-----2
('奥拉拉·奥通努',)的频次-----1
('招募',)的频次-----32
('４架',)的频次-----3
('美国五角大楼',)的频次-----1
('林皎明',)的频次-----5
('伊拉克当地时间９时３０分',)的频次-----1
('Ｆ—１６',)的频次-----1
('７０００万埃居',)的频次-----1
('总务',)的频次-----2
('亚罗约格洛里亚·马卡帕加尔·阿罗约',)的频次-----1
('社会福利和发展部',)的频次-----1
('外交部长',)的频次-----38
('科学和技术部',)的频次-----1
('帕多利纳',)的频次-----1
('公共工程和公路部',)的频次-----1
('比希拉尔',)的频次-----1
('执行部',)的频次-----1
('罗纳尔多·萨莫拉',)的频次-----1
('奥兰多·梅尔卡多',)的频次-----1
('埃德加多·埃斯皮里图',)的频次-----1
('布拉干省',)的频次-----1
('马洛洛斯教堂',)的频次-----1
('１９１３年',)的频次-----4
('１９２２年',)的频次-----5
('日本第八高中同学会',)的频次-----1
('郁达夫文学纪念碑',)的频次-----1
('名古屋市',)的频次-----1
('名古屋大学',)的频次-----1
('奥尔德蒂斯',)的频次-----4
('联盟党',)的频次-----9
('北爱联盟党',)的频次-----1
('北爱议会',)的频次-----3
('英国北爱尔兰联盟党',)的频次-----1
('北爱新议会',)的频次-----2
('葡',)的频次-----60
('并行不悖',)的频次-----1
('续签',)的频次-----3
('法国与南非混合经济委员会',)的频次-----1
('５项',)的频次-----2
('父子',)的频次-----13
('八次',)的频次-----3
('第九次',)的频次-----12
('里尔本',)的频次-----1
('汉代',)的频次-----6
('马克斯·维勒',)的频次-----1
('阿尔夫瑞德·黑德卡',)的频次-----1
('约翰·斯特劳斯',)的频次-----1
('５月１８日',)的频次-----32
('高峰会',)的频次-----1
('１５．８％',)的频次-----1
('２０．１％',)的频次-----1
('６１．５％',)的频次-----1
('今年４月初',)的频次-----5
('埃森',)的频次-----1
('三极',)的频次-----1
('欧洲经济货币联盟',)的频次-----1
('星州日报',)的频次-----1
('路透社',)的频次-----2
('开诚布公',)的频次-----3
('康涅狄格州',)的频次-----1
('约瑟夫·利伯曼',)的频次-----1
('日本时事社',)的频次-----1
('村冈',)的频次-----2
('日本内阁官房',)的频次-----1
('越南外交部',)的频次-----1
('联欢会',)的频次-----4
('瓦努阿图',)的频次-----8
('科马努',)的频次-----1
('沃尔特',)的频次-----2
('沃尔特·利尼',)的频次-----1
('索科马努',)的频次-----1
('中国驻瓦努阿图大使馆',)的频次-----2
('维拉港',)的频次-----1
('欢聚',)的频次-----8
('洛杉矶华人艺术团',)的频次-----1
('高歌',)的频次-----7
('洛杉矶中华团体工商联合会',)的频次-----1
('罗文正',)的频次-----1
('南加州',)的频次-----3
('洛杉矶海峡两岸关系研讨会',)的频次-----1
('李惠英',)的频次-----1
('１６场',)的频次-----5
('９９',)的频次-----3
('林日升',)的频次-----2
('不折不扣',)的频次-----14
('南加州香港学会',)的频次-----1
('美国所罗门证券投资银行',)的频次-----1
('安文彬',)的频次-----1
('经济制度',)的频次-----14
('南加利福尼亚州',)的频次-----1
('市总工会',)的频次-----4
('市教育工会',)的频次-----2
('１０所',)的频次-----5
('上海市职工再就业护工培训中心',)的频次-----1
('萧关根',)的频次-----1
('上海市教育委员会',)的频次-----1
('市教育发展基金会',)的频次-----1
('５００万元',)的频次-----12
('５００所',)的频次-----1
('５万名',)的频次-----3
('征稿',)的频次-----9
('５００多件',)的频次-----2
('新四军',)的频次-----29
('老战士',)的频次-----11
('戎马倥偬',)的频次-----4
('茅山',)的频次-----4
('金坛市委',)的频次-----2
('１９３８年',)的频次-----11
('粟裕',)的频次-----2
('苏南抗日根据地',)的频次-----1
('茅山抗日民主根据地',)的频次-----1
('６０周年',)的频次-----4
('富绅服装实业公司',)的频次-----1
('王娜梅',)的频次-----13
('中国青少年发展基金会',)的频次-----5
('富绅服装实业有限公司',)的频次-----1
('富绅',)的频次-----1
('衬衫',)的频次-----6
('中国青基会',)的频次-----6
('００１号',)的频次-----1
('富绅公司',)的频次-----1
('四十几家',)的频次-----1
('摄制',)的频次-----33
('辽宁电子出版社',)的频次-----1
('中国青少年音像出版社',)的频次-----1
('１００个',)的频次-----19
('巡礼',)的频次-----5
('吉林省中医中药研究院',)的频次-----1
('灸',)的频次-----2
('８８．７％',)的频次-----1
('脏腑',)的频次-----2
('经络',)的频次-----12
('技术装备',)的频次-----12
('看医生',)的频次-----3
('吉林银鹏医疗器械公司',)的频次-----1
('北京百鸟园',)的频次-----3
('北京武警总队天安门国旗班',)的频次-----1
('国旗班',)的频次-----1
('八一建军节',)的频次-----2
('两周岁',)的频次-----1
('营养素',)的频次-----7
('二十八个',)的频次-----1
('亿亩',)的频次-----1
('五十多个',)的频次-----2
('新陈代谢',)的频次-----7
('南开大学',)的频次-----6
('北方交通大学',)的频次-----2
('百分之五十',)的频次-----8
('引自',)的频次-----1
('ＤＡＮ公司',)的频次-----1
('七月二十九日',)的频次-----2
('北京市节水办',)的频次-----1
('市教委',)的频次-----6
('北京ＣＡＶ文化有限公司',)的频次-----1
('１６０余万元',)的频次-----2
('国家公务员',)的频次-----9
('下海',)的频次-----18
('晋绥儿女支持老区教育协会',)的频次-----2
('晋绥',)的频次-----8
('来函',)的频次-----5
('全国供销合作总社',)的频次-----2
('牛荫冠',)的频次-----1
('赵辉',)的频次-----1
('８１岁',)的频次-----4
('旅程',)的频次-----8
('弥留',)的频次-----6
('遗言',)的频次-----4
('老战友',)的频次-----3
('热流',)的频次-----1
('连绵不断',)的频次-----3
('１９９６年２月１４日',)的频次-----1
('山西省委大会议厅',)的频次-----1
('淳朴',)的频次-----13
('老领导',)的频次-----6
('中共中央晋绥分局',)的频次-----1
('林枫',)的频次-----2
('林炎志',)的频次-----1
('双休日',)的频次-----18
('热土',)的频次-----11
('恩',)的频次-----9
('关向应',)的频次-----1
('八路军１２０师',)的频次-----1
('晋绥抗日根据地',)的频次-----1
('屏障',)的频次-----12
('延安党中央',)的频次-----1
('要道',)的频次-----6
('黄土地',)的频次-----5
('中国东方通信卫星有限责任公司',)的频次-----1
('中卫公司',)的频次-----1
('中卫—１号”通信卫星',)的频次-----2
('美国洛克希德·马丁卫星测控中心',)的频次-----1
('中卫公司测控站',)的频次-----1
('载荷',)的频次-----4
('轨',)的频次-----23
('域名',)的频次-----27
('早晚',)的频次-----5
('苦果',)的频次-----7
('ＣＮＮＩＣ',)的频次-----4
('预留',)的频次-----1
('毛伟',)的频次-----1
('不合情理',)的频次-----1
('３００元',)的频次-----9
('国家工商行政管理局商标局',)的频次-----1
('中国互联网络信息中心',)的频次-----1
('驰名',)的频次-----5
('创联公司',)的频次-----1
('ＩｎｔｅｒＮＩＣ',)的频次-----2
('４２４万个',)的频次-----1
('８０００多个',)的频次-----1
('ＤｏｍａｉｎＮａｍｅ',)的频次-----1
('通畅',)的频次-----8
('杨健',)的频次-----13
('全球互联网络信息中心',)的频次-----1
('中国电信',)的频次-----7
('北京创联通信网络有限公司',)的频次-----1
('榜上有名',)的频次-----3
('河北大发纸品有限公司',)的频次-----1
('３·４万元',)的频次-----1
('满城县',)的频次-----3
('白龙乡',)的频次-----2
('２８８１起',)的频次-----1
('１０００多万元',)的频次-----8
('林政',)的频次-----2
('森',)的频次-----16
('防火',)的频次-----35
('乡规民约',)的频次-----1
('５００多万人次',)的频次-----1
('２９００万株',)的频次-----1
('地区行署',)的频次-----2
('森林法',)的频次-----2
('垂范',)的频次-----8
('池州',)的频次-----3
('５９％',)的频次-----4
('２８．６％',)的频次-----2
('张玉来',)的频次-----5
('梳理',)的频次-----10
('巨变',)的频次-----19
('坐标',)的频次-----17
('踏勘',)的频次-----3
('版图',)的频次-----6
('３万余公里',)的频次-----1
('中国美术家协会',)的频次-----6
('西安美术学院',)的频次-----2
('泾阳',)的频次-----1
('中国大地原点',)的频次-----1
('授旗',)的频次-----1
('魏县',)的频次-----1
('１５０余万册',)的频次-----1
('１００多万份',)的频次-----1
('书橱',)的频次-----6
('乡政府',)的频次-----15
('橱',)的频次-----3
('９０年',)的频次-----2
('沈阳市图书馆',)的频次-----2
('６５小时',)的频次-----1
('沈图',)的频次-----1
('搞活企业服务队',)的频次-----1
('科技扶贫支农队',)的频次-----1
('３００多家',)的频次-----7
('藏书',)的频次-----40
('借书',)的频次-----8
('古籍',)的频次-----23
('３０万册',)的频次-----1
('书刊',)的频次-----31
('开架',)的频次-----7
('借阅',)的频次-----11
('市图书馆',)的频次-----1
('再就业阅览室',)的频次-----1
('剪报',)的频次-----5
('阿拉善',)的频次-----17
('沙尘暴',)的频次-----5
('额济纳',)的频次-----1
('额济纳绿洲',)的频次-----3
('黑河管理局',)的频次-----2
('额济纳河',)的频次-----4
('祁连山脉',)的频次-----1
('黑河',)的频次-----11
('下泄',)的频次-----2
('９亿立方米',)的频次-----1
('国家环保总局',)的频次-----22
('调研',)的频次-----46
('献计献策',)的频次-----9
('甘心',)的频次-----9
('歪',)的频次-----7
('枝干',)的频次-----6
('渗出',)的频次-----4
('胡杨',)的频次-----6
('５６７万亩',)的频次-----1
('尸首',)的频次-----1
('居延',)的频次-----1
('第三纪',)的频次-----2
('斑',)的频次-----10
('淡水',)的频次-----21
('矿化度',)的频次-----3
('１．０克',)的频次-----1
('吉日嘎郎图',)的频次-----1
('苏古淖尔',)的频次-----1
('赛汉桃来',)的频次-----1
('苏木',)的频次-----4
('１．１１米',)的频次-----1
('居延海',)的频次-----1
('老天',)的频次-----7
('８６万亩',)的频次-----1
('１３０多种',)的频次-----1
('祸及',)的频次-----2
('甚至于',)的频次-----6
('５亿立方米',)的频次-----1
('１．８８亿立方米',)的频次-----1
('西居延海',)的频次-----2
('沿河',)的频次-----4
('芨芨草',)的频次-----2
('人影',)的频次-----5
('六七十年代',)的频次-----2
('泄水',)的频次-----1
('１１．２亿立方米',)的频次-----1
('额济纳旗',)的频次-----1
('宋代末年',)的频次-----1
('３００多平方公里',)的频次-----1
('黑水河',)的频次-----1
('任万年',)的频次-----1
('瀚海',)的频次-----2
('端倪',)的频次-----12
('阿拉善盟',)的频次-----2
('２７万平方公里',)的频次-----1
('边境线',)的频次-----2
('７３５公里',)的频次-----1
('１７万',)的频次-----3
('遮天蔽日',)的频次-----3
('２．１亿元',)的频次-----2
('今年４月１５日',)的频次-----2
('巨龙',)的频次-----8
('县农业局',)的频次-----2
('林业局',)的频次-----5
('畜牧局',)的频次-----4
('县开发办',)的频次-----2
('县科委',)的频次-----1
('２５０多个',)的频次-----1
('苗圃',)的频次-----3
('生源',)的频次-----2
('７０',)的频次-----5
('固安',)的频次-----1
('固安职业中学',)的频次-----1
('农学',)的频次-----3
('幼师',)的频次-----1
('固安县职业中学',)的频次-----1
('中国人民大学',)的频次-----16
('今年秋季',)的频次-----3
('进修班',)的频次-----6
('高等教育',)的频次-----89
('上讲台',)的频次-----2
('４０余位',)的频次-----1
('备课',)的频次-----4
('怨声载道',)的频次-----6
('１００万立方米',)的频次-----2
('３７万立方米',)的频次-----1
('１１００米',)的频次-----2
('公厕',)的频次-----6
('１９１座',)的频次-----1
('万溪垃圾处理场',)的频次-----1
('瀛上垃圾填埋场',)的频次-----1
('９００多吨',)的频次-----1
('南昌大桥',)的频次-----1
('１７座',)的频次-----1
('２４座',)的频次-----1
('１２万平方米',)的频次-----1
('八一大桥',)的频次-----1
('火车站',)的频次-----11
('八一大道',)的频次-----1
('２８条',)的频次-----4
('２６亿元',)的频次-----1
('守则',)的频次-----7
('潜移默化',)的频次-----11
('硬仗',)的频次-----4
('保育',)的频次-----9
('６０００余名',)的频次-----2
('现况',)的频次-----1
('省教委',)的频次-----9
('２０所',)的频次-----2
('２００所',)的频次-----1
('１０００余所',)的频次-----2
('增拨',)的频次-----5
('成人教育',)的频次-----6
('４万名',)的频次-----3
('龚达发',)的频次-----3
('天时地利',)的频次-----3
('两对',)的频次-----10
('迟蓉',)的频次-----1
('熊姿',)的频次-----1
('第十七位',)的频次-----1
('８月４日',)的频次-----1
('保琳',)的频次-----1
('波莎尔斯特',)的频次-----1
('安妮特',)的频次-----1
('理安妮',)的频次-----1
('２４对',)的频次-----1
('种子选手',)的频次-----2
('１１８名',)的频次-----6
('１０对',)的频次-----2
('大连电视台',)的频次-----1
('观战',)的频次-----6
('蓝灯的士公司',)的频次-----1
('金石滩',)的频次-----1
('８月１２日',)的频次-----2
('６０余场',)的频次-----1
('配比',)的频次-----2
('细软',)的频次-----2
('毯',)的频次-----1
('谷地',)的频次-----2
('万众',)的频次-----6
('缓坡',)的频次-----1
('通透',)的频次-----1
('扇形',)的频次-----1
('金石滩国家旅游度假区',)的频次-----2
('神月湾',)的频次-----1
('第一座',)的频次-----7
('告竣',)的频次-----2
('国际排联',)的频次-----3
('公开赛',)的频次-----28
('吴东方',)的频次-----1
('十名',)的频次-----1
('十一万张',)的频次-----1
('抽奖',)的频次-----3
('北京电信长城移动通讯有限责任公司',)的频次-----2
('北京慧泽兰广告有限公司',)的频次-----1
('北京电信长城',)的频次-----3
('连环',)的频次-----9
('竞猜',)的频次-----19
('中央电视台体育部',)的频次-----2
('认知',)的频次-----17
('十六强',)的频次-----5
('武汉水利电力大学',)的频次-----1
('沈宗韧',)的频次-----1
('九十四分',)的频次-----1
('三十二点六万张',)的频次-----1
('八百多万次',)的频次-----1
('乐华',)的频次-----2
('７∶０',)的频次-----2
('第二组',)的频次-----6
('第一组',)的频次-----5
('０∶１',)的频次-----10
('前四',)的频次-----1
('徐珊',)的频次-----1
('蛙泳',)的频次-----2
('滑冰',)的频次-----5
('幺正杰',)的频次-----1
('明星联队',)的频次-----1
('组队',)的频次-----5
('６４∶５８',)的频次-----1
('８８∶３４',)的频次-----1
('李燕',)的频次-----2
('齐晖',)的频次-----1
('宁昕',)的频次-----1
('混合泳',)的频次-----1
('５枚',)的频次-----2
('中国射击队',)的频次-----3
('１４张',)的频次-----2
('在握',)的频次-----4
('２６张',)的频次-----1
('丁红萍',)的频次-----2
('多向',)的频次-----3
('赵颖慧',)的频次-----1
('蔡烨清',)的频次-----1
('宁立佳',)的频次-----1
('蔡亚林',)的频次-----1
('４枚',)的频次-----7
('１０枚',)的频次-----4
('巴塞罗那奥运射击中心',)的频次-----1
('仲夏',)的频次-----5
('亚洲青年管弦乐团',)的频次-----3
('踏足',)的频次-----2
('去年７月１日',)的频次-----3
('亚青乐团',)的频次-----1
('蜚声',)的频次-----7
('大提琴',)的频次-----3
('马友友',)的频次-----2
('首演',)的频次-----4
('谭盾',)的频次-----2
('一九九七',)的频次-----1
('１０３位',)的频次-----1
('哥美士安',)的频次-----1
('卢新宁',)的频次-----5
('６周',)的频次-----3
('教育部电化教育音像出版社',)的频次-----1
('中国广播音像出版社',)的频次-----1
('十万个',)的频次-----4
('动画片',)的频次-----37
('２０种',)的频次-----4
('９元',)的频次-----1
('解放军长征音像出版社',)的频次-----2
('中国音像协会',)的频次-----3
('美美',)的频次-----3
('几盘',)的频次-----1
('湖北中医学院医疗小分队',)的频次-----1
('开课',)的频次-----6
('编著',)的频次-----13
('数十部',)的频次-----1
('录像片',)的频次-----7
('百张',)的频次-----1
('海洋观教研组',)的频次-----1
('海军潜艇学院',)的频次-----1
('青岛海军潜艇学院',)的频次-----1
('林岱峰',)的频次-----1
('连云港',)的频次-----4
('煤尘',)的频次-----1
('十几套',)的频次-----1
('连云港市',)的频次-----4
('油水',)的频次-----5
('２０００多吨',)的频次-----2
('海监局',)的频次-----2
('锚地',)的频次-----3
('巡查',)的频次-----8
('源头',)的频次-----58
('市水产局',)的频次-----1
('渔港',)的频次-----2
('市海洋局',)的频次-----1
('１１０起',)的频次-----1
('蔚蓝',)的频次-----7
('黄振中',)的频次-----5
('连云港市环保局',)的频次-----1
('海洋局',)的频次-----1
('治污',)的频次-----13
('袋子',)的频次-----7
('明理',)的频次-----3
('空当',)的频次-----5
('无所事事',)的频次-----4
('长葛市',)的频次-----6
('５２亿元',)的频次-----1
('２１．１％',)的频次-----2
('２３６０元',)的频次-----1
('２５．６％',)的频次-----1
('展评',)的频次-----1
('３５．６万册',)的频次-----1
('长葛市委',)的频次-----1
('跟踪服务',)的频次-----6
('１９９０年１０月',)的频次-----2
('１０００多册',)的频次-----1
('１００多册',)的频次-----1
('和尚桥镇',)的频次-----1
('“八七”村',)的频次-----1
('张根成',)的频次-----1
('书架',)的频次-----8
('北京有色金属研究总院',)的频次-----3
('铋',)的频次-----4
('钇',)的频次-----1
('１３２米',)的频次-----1
('焊料',)的频次-----1
('西北有色院',)的频次-----1
('中科院电工研究所',)的频次-----1
('国家超导专家委员会',)的频次-----1
('无阻',)的频次-----1
('１２００安培',)的频次-----1
('电阻',)的频次-----1
('０．０６微欧',)的频次-----1
('贾西平',)的频次-----16
('第一根',)的频次-----1
('美国三康公司',)的频次-----2
('信息技术创新研究中心',)的频次-----1
('１００万户',)的频次-----2
('第一讲',)的频次-----1
('主讲',)的频次-----12
('三康公司',)的频次-----1
('艾里克·本纳穆',)的频次-----2
('中科院高能物理所',)的频次-----2
('许榕生',)的频次-----1
('祝华新',)的频次-----4
('国家自然科学基金委员会',)的频次-----2
('岩石圈',)的频次-----2
('增生',)的频次-----6
('乌鲁木齐市',)的频次-----4
('地质学',)的频次-----9
('杨捷',)的频次-----1
('９８．５分',)的频次-----1
('上年度',)的频次-----9
('４３名',)的频次-----1
('７９门',)的频次-----1
('８８．２％',)的频次-----1
('美国人寿保险管理协会',)的频次-----1
('寿险',)的频次-----21
('北京保险协会',)的频次-----1
('美国恒康相互人寿保险公司',)的频次-----2
('人寿保险管理协会',)的频次-----1
('ＬＯＭＡＦＬＭＩ',)的频次-----1
('１６０多篇',)的频次-----1
('２０家',)的频次-----11
('１３０多篇',)的频次-----1
('董洪亮',)的频次-----14
('北方交大',)的频次-----2
('百余位',)的频次-----6
('建筑物',)的频次-----36
('北京玛斯特自控工程有限公司',)的频次-----1
('五十多项',)的频次-----1
('漏报',)的频次-----2
('性病',)的频次-----1
('１０６７６例',)的频次-----1
('３０１例',)的频次-----1
('华中师大一附中',)的频次-----1
('永定县一中',)的频次-----1
('江健森',)的频次-----1
('长沙市一中',)的频次-----1
('魏迪明',)的频次-----1
('湖南师大附中',)的频次-----1
('郭婧',)的频次-----1
('九次',)的频次-----2
('千名',)的频次-----15
('指针',)的频次-----25
('耳濡目染',)的频次-----3
('旭天歌',)的频次-----4
('北京医科大学',)的频次-----1
('北京中医药大学',)的频次-----1
('祖辈',)的频次-----3
('推拿',)的频次-----5
('针灸',)的频次-----34
('异曲同工',)的频次-----3
('点穴',)的频次-----2
('领教',)的频次-----4
('面庞',)的频次-----7
('纤小',)的频次-----1
('引荐',)的频次-----5
('中国人民公安大学医院经络科',)的频次-----1
('身临其境',)的频次-----4
('山东农大',)的频次-----1
('王洪利',)的频次-----1
('晚上７时',)的频次-----4
('解围',)的频次-----4
('高密市',)的频次-----1
('蚕桑',)的频次-----3
('泰安',)的频次-----2
('房村镇',)的频次-----1
('植保系',)的频次-----1
('许维岸',)的频次-----1
('植保',)的频次-----5
('２６支',)的频次-----2
('山东农业大学',)的频次-----1
('今年暑期',)的频次-----6
('８万亩',)的频次-----2
('１３７５亩',)的频次-----1
('９５个',)的频次-----3
('副职',)的频次-----8
('电教',)的频次-----7
('安阳市委',)的频次-----2
('３２０',)的频次-----4
('名医',)的频次-----8
('安阳',)的频次-----4
('１厘米',)的频次-----1
('辟邪',)的频次-----1
('金龟',)的频次-----1
('比翼鸟',)的频次-----1
('饰',)的频次-----13
('栩栩如生',)的频次-----10
('３０余件',)的频次-----2
('秀雅',)的频次-----2
('六朝',)的频次-----8
('瑰宝',)的频次-----11
('６号',)的频次-----10
('合葬',)的频次-----1
('１８件',)的频次-----2
('礼器',)的频次-----1
('玉佩',)的频次-----1
('２００件',)的频次-----4
('出土文物',)的频次-----6
('琥珀',)的频次-----2
('水晶',)的频次-----5
('今年６月１７日',)的频次-----3
